iter	Passed	Remaining
0	4	4430
1	14	7003
2	17	5901
3	21	5355
4	25	5068
5	29	4867
6	33	4745
7	37	4638
8	41	4566
9	45	4528
10	50	4534
11	54	4493
12	58	4463
13	63	4440
14	67	4410
15	71	4394
16	75	4359
17	79	4327
18	83	4294
19	87	4283
20	91	4280
21	95	4262
22	99	4240
23	104	4234
24	109	4252
25	113	4252
26	117	4241
27	121	4220
28	125	4205
29	129	4191
30	133	4169
31	137	4160
32	141	4155
33	146	4156
34	150	4141
35	154	4126
36	158	4117
37	162	4115
38	166	4104
39	170	4099
40	174	4085
41	178	4072
42	182	4056
43	186	4047
44	190	4033
45	194	4025
46	198	4027
47	202	4024
48	207	4028
49	211	4025
50	215	4017
51	219	4004
52	223	3997
53	227	3992
54	231	3985
55	236	3982
56	240	3983
57	244	3978
58	249	3972
59	253	3966
60	257	3960
61	261	3953
62	265	3946
63	269	3941
64	274	3942
65	278	3938
66	282	3934
67	286	3929
68	290	3923
69	295	3920
70	299	3914
71	303	3906
72	307	3902
73	311	3898
74	315	3889
75	319	3883
76	323	3882
77	327	3875
78	331	3869
79	336	3864
80	340	3860
81	344	3854
82	349	3856
83	352	3847
84	356	3842
85	360	3832
86	364	3821
87	368	3813
88	371	3804
89	375	3794
90	379	3792
91	384	3791
92	388	3786
93	392	3779
94	395	3771
95	400	3768
96	403	3759
97	407	3754
98	412	3751
99	416	3744
100	419	3737
101	423	3731
102	427	3722
103	431	3718
104	435	3711
105	439	3708
106	443	3702
107	447	3696
108	451	3693
109	456	3690
110	460	3688
111	464	3679
112	468	3674
113	472	3668
114	476	3670
115	481	3669
116	487	3681
117	493	3688
118	497	3686
119	502	3684
120	507	3684
121	512	3685
122	516	3684
123	521	3682
124	528	3696
125	533	3698
126	538	3699
127	542	3698
128	547	3697
129	552	3695
130	556	3691
131	560	3684
132	564	3680
133	568	3674
134	573	3672
135	576	3665
136	581	3660
137	585	3655
138	589	3651
139	593	3644
140	597	3638
141	601	3632
142	605	3626
143	608	3619
144	612	3612
145	616	3606
146	620	3602
147	624	3596
148	628	3590
149	632	3585
150	636	3578
151	640	3573
152	644	3569
153	649	3566
154	654	3566
155	658	3561
156	663	3559
157	667	3557
158	673	3563
159	678	3563
