obj_ID,label
52295,0
52296,2
52297,0
52298,0
52299,1
52300,2
52301,1
52302,0
52303,0
52304,0
52305,0
52306,0
52307,2
52308,1
52309,1
52310,1
52311,1
52312,0
52313,0
52314,2
52315,1
52316,2
52317,1
52318,0
52319,0
52320,0
52321,2
52322,1
52323,0
52324,1
52325,0
52326,0
52327,0
52328,0
52329,0
52330,0
52331,2
52332,1
52333,1
52334,0
52335,0
52336,1
52337,2
52338,0
52339,0
52340,1
52341,0
52342,0
52343,2
52344,1
52345,0
52346,1
52347,1
52348,0
52349,0
52350,2
52351,1
52352,2
52353,0
52354,0
52355,0
52356,1
52357,0
52358,0
52359,2
52360,0
52361,2
52362,0
52363,0
52364,1
52365,2
52366,1
52367,2
52368,0
52369,0
52370,1
52371,2
52372,1
52373,1
52374,2
52375,2
52376,2
52377,0
52378,1
52379,0
52380,0
52381,2
52382,1
52383,2
52384,1
52385,2
52386,1
52387,2
52388,0
52389,2
52390,0
52391,2
52392,1
52393,1
52394,2
52395,1
52396,0
52397,1
52398,2
52399,1
52400,1
52401,2
52402,1
52403,1
52404,1
52405,0
52406,2
52407,2
52408,1
52409,2
52410,0
52411,1
52412,0
52413,2
52414,2
52415,0
52416,1
52417,0
52418,0
52419,1
52420,2
52421,1
52422,1
52423,1
52424,0
52425,2
52426,1
52427,1
52428,2
52429,2
52430,1
52431,2
52432,1
52433,2
52434,1
52435,0
52436,2
52437,2
52438,2
52439,1
52440,1
52441,1
52442,1
52443,0
52444,2
52445,0
52446,2
52447,1
52448,0
52449,2
52450,0
52451,2
52452,0
52453,1
52454,2
52455,1
52456,1
52457,1
52458,0
52459,0
52460,1
52461,2
52462,2
52463,2
52464,2
52465,0
52466,0
52467,2
52468,0
52469,1
52470,0
52471,1
52472,2
52473,0
52474,0
52475,2
52476,0
52477,0
52478,2
52479,1
52480,2
52481,2
52482,0
52483,2
52484,2
52485,2
52486,1
52487,2
52488,0
52489,1
52490,2
52491,2
52492,1
52493,2
52494,1
52495,2
52496,2
52497,2
52498,0
52499,1
52500,0
52501,0
52502,2
52503,2
52504,0
52505,2
52506,2
52507,1
52508,1
52509,1
52510,0
52511,2
52512,0
52513,2
52514,2
52515,0
52516,0
52517,2
52518,1
52519,1
52520,1
52521,0
52522,2
52523,0
52524,2
52525,2
52526,0
52527,2
52528,2
52529,1
52530,2
52531,2
52532,1
52533,0
52534,1
52535,0
52536,1
52537,0
52538,0
52539,2
52540,0
52541,1
52542,1
52543,1
52544,0
52545,2
52546,2
52547,0
52548,1
52549,0
52550,1
52551,1
52552,1
52553,2
52554,0
52555,0
52556,0
52557,2
52558,1
52559,0
52560,2
52561,0
52562,2
52563,2
52564,2
52565,1
52566,1
52567,0
52568,1
52569,1
52570,2
52571,2
52572,1
52573,1
52574,0
52575,2
52576,2
52577,2
52578,1
52579,2
52580,0
52581,2
52582,1
52583,2
52584,2
52585,1
52586,1
52587,2
52588,1
52589,0
52590,0
52591,2
52592,2
52593,1
52594,0
52595,0
52596,0
52597,1
52598,0
52599,2
52600,0
52601,0
52602,1
52603,0
52604,1
52605,1
52606,2
52607,2
52608,1
52609,1
52610,0
52611,0
52612,2
52613,0
52614,0
52615,0
52616,2
52617,2
52618,1
52619,0
52620,1
52621,0
52622,2
52623,1
52624,0
52625,0
52626,1
52627,2
52628,2
52629,0
52630,1
52631,0
52632,2
52633,0
52634,2
52635,2
52636,2
52637,1
52638,2
52639,0
52640,2
52641,1
52642,0
52643,1
52644,0
52645,1
52646,0
52647,1
52648,0
52649,2
52650,2
52651,1
52652,2
52653,1
52654,2
52655,0
52656,0
52657,0
52658,1
52659,1
52660,2
52661,2
52662,1
52663,2
52664,1
52665,0
52666,0
52667,2
52668,0
52669,0
52670,1
52671,0
52672,0
52673,2
52674,0
52675,2
52676,1
52677,1
52678,0
52679,0
52680,0
52681,1
52682,0
52683,2
52684,1
52685,2
52686,0
52687,2
52688,0
52689,1
52690,2
52691,2
52692,0
52693,0
52694,0
52695,2
52696,1
52697,1
52698,2
52699,0
52700,0
52701,0
52702,1
52703,0
52704,0
52705,0
52706,1
52707,0
52708,0
52709,2
52710,2
52711,1
52712,2
52713,1
52714,1
52715,2
52716,1
52717,0
52718,0
52719,0
52720,1
52721,2
52722,1
52723,1
52724,1
52725,0
52726,2
52727,0
52728,1
52729,0
52730,2
52731,1
52732,1
52733,2
52734,1
52735,0
52736,0
52737,2
52738,2
52739,2
52740,2
52741,0
52742,2
52743,1
52744,2
52745,0
52746,2
52747,1
52748,0
52749,0
52750,2
52751,2
52752,1
52753,0
52754,1
52755,1
52756,1
52757,0
52758,2
52759,1
52760,2
52761,2
52762,1
52763,1
52764,0
52765,2
52766,0
52767,0
52768,1
52769,0
52770,1
52771,2
52772,2
52773,1
52774,1
52775,2
52776,0
52777,1
52778,2
52779,0
52780,2
52781,2
52782,1
52783,0
52784,2
52785,0
52786,0
52787,2
52788,1
52789,2
52790,0
52791,2
52792,0
52793,1
52794,1
52795,0
52796,1
52797,1
52798,1
52799,0
52800,1
52801,1
52802,1
52803,2
52804,0
52805,2
52806,1
52807,0
52808,1
52809,0
52810,2
52811,2
52812,0
52813,0
52814,1
52815,0
52816,2
52817,0
52818,2
52819,0
52820,2
52821,1
52822,0
52823,1
52824,0
52825,1
52826,1
52827,1
52828,0
52829,2
52830,0
52831,1
52832,0
52833,2
52834,1
52835,1
52836,2
52837,0
52838,1
52839,2
52840,1
52841,2
52842,0
52843,0
52844,0
52845,0
52846,2
52847,0
52848,0
52849,0
52850,1
52851,0
52852,0
52853,0
52854,1
52855,2
52856,0
52857,0
52858,0
52859,0
52860,0
52861,0
52862,1
52863,2
52864,1
52865,2
52866,0
52867,2
52868,0
52869,0
52870,0
52871,1
52872,1
52873,2
52874,1
52875,2
52876,2
52877,2
52878,0
52879,0
52880,1
52881,2
52882,2
52883,1
52884,2
52885,0
52886,2
52887,2
52888,2
52889,1
52890,2
52891,1
52892,2
52893,2
52894,0
52895,0
52896,2
52897,1
52898,0
52899,2
52900,1
52901,0
52902,1
52903,0
52904,2
52905,0
52906,2
52907,2
52908,1
52909,2
52910,1
52911,2
52912,1
52913,1
52914,0
52915,1
52916,0
52917,1
52918,2
52919,0
52920,1
52921,0
52922,1
52923,2
52924,0
52925,0
52926,2
52927,2
52928,2
52929,0
52930,1
52931,1
52932,1
52933,2
52934,0
52935,2
52936,2
52937,0
52938,0
52939,2
52940,1
52941,2
52942,1
52943,1
52944,2
52945,2
52946,2
52947,2
52948,1
52949,1
52950,1
52951,1
52952,1
52953,0
52954,0
52955,1
52956,0
52957,1
52958,0
52959,1
52960,0
52961,2
52962,1
52963,1
52964,0
52965,0
52966,2
52967,0
52968,1
52969,1
52970,1
52971,0
52972,0
52973,0
52974,1
52975,2
52976,1
52977,0
52978,1
52979,0
52980,0
52981,2
52982,2
52983,1
52984,0
52985,0
52986,1
52987,0
52988,0
52989,2
52990,2
52991,2
52992,0
52993,2
52994,1
52995,2
52996,0
52997,0
52998,0
52999,2
53000,1
53001,1
53002,0
53003,2
53004,0
53005,0
53006,0
53007,1
53008,2
53009,2
53010,2
53011,1
53012,2
53013,2
53014,0
53015,1
53016,2
53017,2
53018,1
53019,0
53020,2
53021,2
53022,0
53023,0
53024,2
53025,1
53026,1
53027,1
53028,0
53029,1
53030,2
53031,1
53032,2
53033,1
53034,1
53035,1
53036,0
53037,2
53038,0
53039,2
53040,2
53041,1
53042,0
53043,1
53044,1
53045,0
53046,1
53047,1
53048,2
