iter	MultiClass
0	1.081090856
1	1.063873052
2	1.047329852
3	1.031246081
4	1.015970211
5	1.000640257
6	0.985821313
7	0.971103834
8	0.9569196781
9	0.9431125802
10	0.9295441098
11	0.9163637936
12	0.9034519705
13	0.8908660393
14	0.8783340644
15	0.8663116435
16	0.854717273
17	0.8431371668
18	0.8319007374
19	0.8209775939
20	0.8103588553
21	0.7997775671
22	0.7893500381
23	0.7793570674
24	0.7693430727
25	0.7597545357
26	0.7502062592
27	0.740889354
28	0.7315662068
29	0.7225850063
30	0.7137124017
31	0.7051221367
32	0.6966042999
33	0.6883170966
34	0.6801291831
35	0.6722433885
36	0.664411722
37	0.6566888891
38	0.6490703459
39	0.6416649283
40	0.6343363312
41	0.6272165716
42	0.6201899247
43	0.613237164
44	0.6063774103
45	0.5996850425
46	0.5931296662
47	0.5866284007
48	0.5802447333
49	0.5740479183
50	0.5680187157
51	0.5618979502
52	0.5560291921
53	0.5501241133
54	0.5443266873
55	0.538610207
56	0.5328959724
57	0.5274005426
58	0.5221223672
59	0.5167545957
60	0.5113484623
61	0.5062956739
62	0.5012104402
63	0.4962754137
64	0.4914147299
65	0.4865766578
66	0.4817245336
67	0.4770458357
68	0.4723408163
69	0.4676999767
70	0.4631812449
71	0.4587301736
72	0.4544582708
73	0.4500994302
74	0.4458404649
75	0.4416038547
76	0.4374434461
77	0.4333197211
78	0.4292509871
79	0.4252987346
80	0.4213969507
81	0.4176275719
82	0.4137717682
83	0.4100626577
84	0.4064008411
85	0.4028188437
86	0.3991891841
87	0.3955776227
88	0.3921091326
89	0.3886106917
90	0.3852671095
91	0.3819280726
92	0.3785896298
93	0.3752598288
94	0.3720821932
95	0.3689717728
96	0.3658565523
97	0.3626625504
98	0.3596166467
99	0.3566128704
100	0.3536109844
101	0.3506708481
102	0.3477966255
103	0.3449519725
104	0.3421865699
105	0.3393781524
106	0.3366219021
107	0.3338592673
108	0.3311649867
109	0.3284764699
110	0.3259900854
111	0.3233476612
112	0.3208542542
113	0.3182934847
114	0.3159096859
115	0.3135210165
116	0.311023087
117	0.3086222299
118	0.3061780294
119	0.3038339195
120	0.3016061335
121	0.2992784627
122	0.2970097502
123	0.2947434349
124	0.2924729465
125	0.2902923072
126	0.2881841433
127	0.2861177299
128	0.2840026125
129	0.2819132884
130	0.2799402471
131	0.2779948595
132	0.2759166654
133	0.2739591921
134	0.271985249
135	0.2701656905
136	0.2682252148
137	0.2663225869
138	0.2644373856
139	0.262521931
140	0.2607276722
141	0.2589509462
142	0.2571496393
143	0.2554253689
144	0.2536777154
145	0.2519574758
146	0.2502001992
147	0.2485698212
148	0.2468407986
149	0.2451795997
150	0.2436212457
151	0.242060464
152	0.240442862
153	0.2388843564
154	0.2373549352
155	0.2358266676
156	0.234322158
157	0.2326099538
158	0.2311392631
159	0.2297429924
160	0.2282679863
161	0.2268327009
162	0.2254295406
163	0.2240190431
164	0.2226871206
165	0.221294632
166	0.2199018281
167	0.2185418591
168	0.2171816829
169	0.215860911
170	0.2145968095
171	0.213389294
172	0.2121017469
173	0.2108726905
174	0.2096400699
175	0.2084972932
176	0.2072542132
177	0.2060522632
178	0.2048688401
179	0.2036629173
180	0.202457889
181	0.2013615537
182	0.2002606633
183	0.1991923849
184	0.1980695206
185	0.1969943133
186	0.1959338423
187	0.1948219676
188	0.1937327566
189	0.1927220901
190	0.1916874717
191	0.1907236818
192	0.1898064454
193	0.1888026487
194	0.1878173433
195	0.1868126707
196	0.1858395392
197	0.1849430243
198	0.1840027456
199	0.1831134255
200	0.1822417918
201	0.1813315624
202	0.1804487988
203	0.1796189836
204	0.1787095878
205	0.1778040416
206	0.1769093094
207	0.1760646035
208	0.1751981248
209	0.1743961664
210	0.1736326061
211	0.1728270737
212	0.1720282766
213	0.1712234279
214	0.1702263571
215	0.1694363254
216	0.1684096361
217	0.1676766659
218	0.1668809288
219	0.1661068009
220	0.165347206
221	0.1646048026
222	0.1639370486
223	0.1631787505
224	0.1624945719
225	0.1618582194
226	0.1611948991
227	0.16058591
228	0.1599203147
229	0.1592618357
230	0.1585989796
231	0.1579469662
232	0.1573003329
233	0.1567386568
234	0.1561329494
235	0.1555098608
236	0.1546603638
237	0.1540058585
238	0.1531551561
239	0.1525532708
240	0.151988437
241	0.1513758378
242	0.1507786167
243	0.1501893565
244	0.149624409
245	0.1487801539
246	0.1481787614
247	0.1474157074
248	0.1468353155
249	0.1462971323
250	0.145753172
251	0.1452021017
252	0.1446460874
253	0.1441038724
254	0.1435569711
255	0.1428461304
256	0.1423553966
257	0.1416669667
258	0.1412002367
259	0.1405137021
260	0.1400268742
261	0.1395733323
262	0.1390846689
263	0.1385803896
264	0.1381167261
265	0.1377136519
266	0.1371220584
267	0.1364695613
268	0.1360624663
269	0.1355172226
270	0.1350369794
271	0.1345779614
272	0.134115088
273	0.13356368
274	0.1331281327
275	0.132693747
276	0.1323272532
277	0.1317385788
278	0.1312766819
279	0.1308785269
280	0.13047781
281	0.1300822816
282	0.1296722203
283	0.1292968324
284	0.1289421899
285	0.1283728306
286	0.1280396179
287	0.1276259043
288	0.1271148702
289	0.1267013211
290	0.1261977961
291	0.125825255
292	0.1254408873
293	0.1249245296
294	0.1245770448
295	0.1241139788
296	0.1237582695
297	0.1233973271
298	0.122892786
299	0.1225242401
300	0.1222125474
301	0.1219131598
302	0.1215714845
303	0.1212584636
304	0.1209275326
305	0.120472599
306	0.1202096273
307	0.1197552682
308	0.1192944596
309	0.1188528369
310	0.1184181053
311	0.1181505787
312	0.1177204741
313	0.1174388611
314	0.1171073881
315	0.1168153722
316	0.116574778
317	0.116174709
318	0.115880515
319	0.1155886033
320	0.1151800114
321	0.1147943176
322	0.1144274673
323	0.1141652769
324	0.1139331899
325	0.1135565542
326	0.1133315175
327	0.1130558591
328	0.1126588585
329	0.1123641271
330	0.1119766757
331	0.1116402107
332	0.1113135579
333	0.1109462307
334	0.1105964288
335	0.1102560522
336	0.1099450803
337	0.1097481365
338	0.1094003513
339	0.1091950377
340	0.1089315119
341	0.1086975171
342	0.1084939638
343	0.1082970096
344	0.1080703092
345	0.1077858846
346	0.1075181327
347	0.1072096557
348	0.1070064666
349	0.1067191777
350	0.1064741519
351	0.1062996618
352	0.1061081497
353	0.1058129135
354	0.1056015277
355	0.1053455459
356	0.1050606724
357	0.1047873881
358	0.1045322363
359	0.1042567069
360	0.1040485289
361	0.10385388
362	0.1036119842
363	0.1033886132
364	0.1031371464
365	0.1029498648
366	0.1027466221
367	0.1025359352
368	0.1023750398
369	0.102123368
370	0.1019304392
371	0.1017733604
372	0.1016016911
373	0.1013660811
374	0.1012017627
375	0.1009718652
376	0.1008199843
377	0.1006388117
378	0.1004729125
379	0.1002777596
380	0.1000871245
381	0.09990511743
382	0.09973517407
383	0.0995065468
384	0.09932727585
385	0.09913884729
386	0.09894919789
387	0.09873955424
388	0.09856196367
389	0.09838691964
390	0.09818584625
391	0.09807472805
392	0.09789168602
393	0.09773164161
394	0.09758916349
395	0.09738419296
396	0.09722034217
397	0.09704331233
398	0.09692758258
399	0.09675277975
400	0.09663071426
401	0.09646149098
402	0.09629189198
403	0.09611776306
404	0.09599259796
405	0.09584673701
406	0.0956809752
407	0.09555099346
408	0.09538729037
409	0.09521046147
410	0.09506549054
411	0.09489798032
412	0.09477756678
413	0.09462030031
414	0.09444755643
415	0.09429986803
416	0.09417494654
417	0.09402058082
418	0.09386636268
419	0.09371366329
420	0.09356876858
421	0.09342931581
422	0.09334345801
423	0.09320675347
424	0.09310384475
425	0.09295234171
426	0.09284727368
427	0.09271066246
428	0.09256727229
429	0.09240932975
430	0.09225865598
431	0.0921395629
432	0.09201535329
433	0.09190567873
434	0.09176137191
435	0.09162677547
436	0.09151096636
437	0.09141638126
438	0.09131440263
439	0.09123023542
440	0.0911146365
441	0.09102866001
442	0.09092100035
443	0.09081764433
444	0.09070975524
445	0.09060218162
446	0.09051020155
447	0.09040757484
448	0.09026877056
449	0.09014462659
450	0.0900453617
451	0.08995344142
452	0.08982584834
453	0.0897204254
454	0.08962424515
455	0.08947366241
456	0.08936961146
457	0.08926704519
458	0.08917084824
459	0.0891183653
460	0.08902411868
461	0.08893234434
462	0.08884982566
463	0.08874656158
464	0.08865767299
465	0.08854415054
466	0.08846050461
467	0.08836071103
468	0.08828047623
469	0.08818424582
470	0.08809157829
471	0.08801011282
472	0.08790489838
473	0.08781832985
474	0.08773357174
475	0.0876473803
476	0.08754314747
477	0.08744960132
478	0.08737919324
479	0.0872969072
480	0.08720350146
481	0.08708602391
482	0.08698354759
483	0.08686580168
484	0.08678934696
485	0.08671267395
486	0.08665407162
487	0.08657681147
488	0.08648809888
489	0.08641386437
490	0.08632313944
491	0.08623357265
492	0.08617345673
493	0.08613201481
494	0.08609725681
495	0.08606312456
496	0.08598906064
497	0.08591187605
498	0.0858570858
499	0.08581383953
500	0.08572726955
501	0.08566006007
502	0.08557333022
503	0.0854790759
504	0.08540031494
505	0.08532736803
506	0.08526645526
507	0.08520033533
508	0.08516701161
509	0.08505974793
510	0.08501584795
511	0.08492853449
512	0.08484834923
513	0.08475611615
514	0.08469755662
515	0.08463453868
516	0.08457671147
517	0.08451325524
518	0.08444053196
519	0.08438363167
520	0.08433869053
521	0.08430035533
522	0.08424142283
523	0.08418227577
524	0.08413066751
525	0.08406795492
526	0.08403684516
527	0.08397280131
528	0.08391651365
529	0.08384792576
530	0.08378814985
531	0.08372905353
532	0.08367705798
533	0.08362328942
534	0.08356962885
535	0.08353641547
536	0.0834718473
537	0.0834219424
538	0.0833790343
539	0.08331303794
540	0.08326940514
541	0.08320762993
542	0.08316742176
543	0.08310665789
544	0.08306105426
545	0.08300130084
546	0.08295526623
547	0.0828821241
548	0.08282749338
549	0.08277984967
550	0.08272818125
551	0.08266852764
552	0.08262853883
553	0.08258369538
554	0.08251558195
555	0.08246850247
556	0.0824198171
557	0.08236967586
558	0.08233231862
559	0.08230052428
560	0.08224500948
561	0.08219897612
562	0.08214821445
563	0.08210919312
564	0.08205469049
565	0.08201191025
566	0.08195394736
567	0.08190109809
568	0.08183844044
569	0.08179541037
570	0.08175935572
571	0.08171034015
572	0.08164493451
573	0.08161252945
574	0.08156065924
575	0.08150991287
576	0.08146947795
577	0.08142243906
578	0.08136248506
579	0.08131482163
580	0.08128113027
581	0.0812491825
582	0.08119145716
583	0.0811496677
584	0.08112000517
585	0.08104754754
586	0.08100052618
587	0.08095476428
588	0.08090981635
589	0.08086640555
590	0.0808173433
591	0.08077874251
592	0.080741788
593	0.08067714019
594	0.08063779708
595	0.08059131933
596	0.08054418701
597	0.08049338672
598	0.08046175805
599	0.08041662612
600	0.08036854539
601	0.08032371081
602	0.08029574794
603	0.0802610534
604	0.08022948795
605	0.08018249124
606	0.08014601978
607	0.08011380747
608	0.0800716797
609	0.08003937558
610	0.08000188537
611	0.07997285277
612	0.07992471603
613	0.07988991235
614	0.07985171328
615	0.07980609753
616	0.07975713131
617	0.07973294186
618	0.07971910474
619	0.07968486902
620	0.07965566837
621	0.07961497914
622	0.07956855027
623	0.07952640217
624	0.07947949834
625	0.07945367913
626	0.07943402527
627	0.07940874132
628	0.07936321675
629	0.07931247349
630	0.07924603707
631	0.07921433018
632	0.07917318455
633	0.07912416756
634	0.07909042776
635	0.07906716724
636	0.07904295264
637	0.07899363704
638	0.07897275263
639	0.07894105819
640	0.07889543145
641	0.0788600303
642	0.07881996517
643	0.07879153812
644	0.07874843493
645	0.07870992807
646	0.07865729832
647	0.07862378206
648	0.07859933295
649	0.07856375588
650	0.07852737729
651	0.07847460159
652	0.07844693055
653	0.07841205102
654	0.07837215124
655	0.0783455386
656	0.07832210092
657	0.07828328143
658	0.07824693303
659	0.0782194386
660	0.07819838248
661	0.07816547198
662	0.07811669775
663	0.07807037079
664	0.07804777494
665	0.07801023127
666	0.07797011853
667	0.07792561508
668	0.07789569118
669	0.07785285722
670	0.07782363829
671	0.0777903796
672	0.07775701262
673	0.07772852481
674	0.07767410447
675	0.07763670237
676	0.07761586332
677	0.07758069572
678	0.07754338865
679	0.07752140528
680	0.07748897947
681	0.07745742921
682	0.07742543877
683	0.07738107346
684	0.07732454871
685	0.07729049044
686	0.0772477503
687	0.07722623378
688	0.07719138385
689	0.07715296746
690	0.07713302753
691	0.07711303396
692	0.07709655079
693	0.07706483254
694	0.07703170168
695	0.07699502583
696	0.07696242528
697	0.07693851318
698	0.07690702371
699	0.07687240306
700	0.07685357958
701	0.07682883364
702	0.07678710089
703	0.07676086799
704	0.07671597226
705	0.07668627144
706	0.0766452455
707	0.07660867417
708	0.07657727137
709	0.07655431492
710	0.07652676629
711	0.07649599229
712	0.07645780927
713	0.07642765099
714	0.076405291
715	0.07638368496
716	0.07636722642
717	0.07634791784
718	0.07632510671
719	0.07629180091
720	0.07625736847
721	0.07622708848
722	0.07618542587
723	0.07616007895
724	0.07614048584
725	0.07611730145
726	0.07606809784
727	0.07603546296
728	0.07601884897
729	0.07599339184
730	0.07594712069
731	0.07592845208
732	0.075905973
733	0.07588162046
734	0.07585169436
735	0.07582021249
736	0.07579611299
737	0.07576795295
738	0.07574944684
739	0.07572542026
740	0.07568932882
741	0.07567301685
742	0.07563587154
743	0.07561581293
744	0.0755889014
745	0.07556654512
746	0.0755390295
747	0.07550583112
748	0.07547725112
749	0.07544719619
750	0.07540968322
751	0.07538309713
752	0.07536240398
753	0.07533863261
754	0.07531705263
755	0.0752850635
756	0.07525601197
757	0.07523526914
758	0.07521075264
759	0.07518088878
760	0.07515376453
761	0.07513224054
762	0.07510332537
763	0.07507958465
764	0.07505298656
765	0.07502707863
766	0.07500914114
767	0.07499637608
768	0.07497677271
769	0.07495119872
770	0.07492682151
771	0.07490699732
772	0.07487792854
773	0.07484565885
774	0.07482663703
775	0.07480637978
776	0.07478642083
777	0.07475952069
778	0.07473038725
779	0.0746965265
780	0.07466615459
781	0.07463543837
782	0.07460742435
783	0.07458978754
784	0.07456171451
785	0.07453399079
786	0.07450853367
787	0.07448832142
788	0.07446510485
789	0.07443901213
790	0.07441661817
791	0.07438692026
792	0.07436786411
793	0.07434293307
794	0.0743048315
795	0.07427189918
796	0.07424247254
797	0.07421272283
798	0.07418904292
799	0.074167072
800	0.07414193426
801	0.07411427988
802	0.07409387176
803	0.07407054718
804	0.0740480427
805	0.07402823067
806	0.07400393814
807	0.0739772258
808	0.07395816801
809	0.07393802225
810	0.07390222741
811	0.07388091705
812	0.07385178132
813	0.07382097056
814	0.07379062704
815	0.07376380189
816	0.07373513126
817	0.07371397647
818	0.07368869223
819	0.07367140453
820	0.07364458846
821	0.07362158779
822	0.07360746409
823	0.07357940041
824	0.07354799419
825	0.07352843085
826	0.07349174661
827	0.07346988783
828	0.07344253771
829	0.0734215986
830	0.07338177897
831	0.07335875247
832	0.07333713124
833	0.07331822545
834	0.07328824106
835	0.07326864057
836	0.07325414303
837	0.07322753936
838	0.07321541812
839	0.07318307829
840	0.07316429793
841	0.07314395605
842	0.07312461481
843	0.07310121444
844	0.07307221681
845	0.07305005611
846	0.07303053653
847	0.0730022136
848	0.07296798773
849	0.07292943799
850	0.07291302399
851	0.07288717698
852	0.07286489782
853	0.07284655761
854	0.07283506818
