iter	Passed	Remaining
0	21	63883
1	41	61678
2	59	58980
3	78	58695
4	97	58418
5	120	60036
6	139	59813
7	179	67073
8	206	68582
9	227	68105
10	246	66993
11	265	66120
12	284	65453
13	304	64894
14	323	64327
15	341	63696
16	359	63099
17	377	62598
18	395	62024
19	414	61712
20	432	61409
21	450	60941
22	468	60692
23	488	60527
24	505	60207
25	525	60057
26	542	59716
27	559	59389
28	578	59233
29	596	59068
30	615	58901
31	634	58840
32	659	59257
33	678	59159
34	695	58922
35	712	58697
36	731	58593
37	750	58500
38	768	58372
39	787	58259
40	806	58175
41	824	58084
42	844	58083
43	862	57932
44	880	57841
45	902	57958
46	923	58000
47	941	57894
48	959	57800
49	978	57741
50	998	57719
51	1017	57700
52	1036	57607
53	1055	57580
54	1077	57694
55	1100	57856
56	1121	57912
57	1139	57785
58	1157	57695
59	1176	57633
60	1194	57527
61	1212	57438
62	1230	57363
63	1248	57283
64	1266	57199
65	1284	57118
66	1303	57069
67	1321	56959
68	1350	57357
69	1367	57259
70	1386	57177
71	1403	57093
72	1422	57022
73	1440	56950
74	1458	56863
75	1474	56743
76	1492	56667
77	1512	56672
78	1531	56642
79	1551	56632
80	1570	56599
81	1594	56744
82	1635	57473
83	1661	57666
84	1679	57614
85	1698	57566
86	1717	57503
87	1737	57485
88	1756	57436
89	1775	57407
90	1795	57400
91	1815	57383
92	1833	57310
93	1851	57238
94	1862	56947
95	1881	56917
96	1898	56830
97	1917	56784
98	1935	56724
99	1954	56669
100	1973	56637
101	1993	56644
102	2014	56659
103	2033	56625
104	2053	56610
105	2074	56630
106	2091	56555
107	2109	56498
108	2129	56474
109	2147	56410
110	2166	56395
111	2185	56350
112	2205	56338
113	2224	56311
114	2243	56273
115	2261	56220
116	2278	56136
117	2297	56110
118	2316	56084
119	2334	56025
120	2352	55981
121	2370	55922
122	2388	55859
123	2406	55819
124	2426	55801
125	2445	55782
126	2462	55708
127	2481	55678
128	2499	55626
129	2517	55579
130	2536	55543
131	2555	55515
132	2573	55479
133	2592	55455
134	2611	55416
135	2630	55394
136	2649	55361
137	2668	55343
138	2685	55278
139	2704	55258
140	2722	55210
141	2740	55153
142	2757	55097
143	2775	55053
144	2794	55020
145	2813	54989
146	2831	54950
147	2849	54906
148	2867	54872
149	2886	54841
150	2905	54819
151	2924	54796
152	2943	54766
153	2961	54733
154	2980	54707
155	2998	54671
156	3018	54651
157	3035	54606
158	3054	54576
159	3072	54534
160	3090	54490
161	3107	54445
162	3126	54408
163	3145	54391
164	3164	54379
165	3184	54359
166	3203	54348
167	3224	54350
168	3242	54320
169	3262	54306
170	3282	54305
171	3300	54268
172	3318	54227
173	3335	54169
174	3352	54126
175	3370	54084
176	3388	54045
177	3405	53994
178	3423	53947
179	3441	53915
180	3459	53881
181	3478	53858
182	3496	53820
183	3514	53785
184	3533	53760
185	3550	53723
186	3568	53684
187	3587	53666
188	3606	53632
189	3625	53619
190	3644	53595
191	3661	53551
192	3678	53501
193	3696	53468
194	3714	53436
195	3733	53411
196	3751	53371
197	3769	53337
198	3786	53295
199	3805	53280
200	3824	53255
201	3842	53221
202	3861	53204
203	3882	53219
204	3901	53190
205	3919	53156
206	3936	53118
207	3955	53094
208	3972	53054
209	3990	53017
210	4008	52985
211	4028	52975
212	4046	52944
213	4065	52922
214	4083	52894
215	4100	52856
216	4118	52820
217	4143	52873
218	4165	52889
219	4185	52892
220	4204	52867
221	4223	52848
222	4241	52821
223	4261	52817
224	4279	52784
225	4297	52755
226	4316	52732
227	4335	52710
228	4353	52684
229	4380	52757
230	4399	52732
231	4418	52722
232	4437	52699
233	4455	52667
234	4473	52633
235	4491	52606
236	4509	52577
237	4529	52560
238	4547	52537
239	4565	52506
240	4584	52482
241	4602	52453
242	4641	52663
243	4659	52634
244	4679	52616
245	4697	52590
246	4717	52575
247	4736	52557
248	4756	52555
249	4774	52518
250	4791	52482
251	4810	52461
252	4828	52426
253	4845	52389
254	4864	52364
255	4888	52399
256	4907	52380
257	4926	52361
258	4944	52325
259	4960	52280
260	4980	52262
261	4998	52234
262	5016	52207
263	5040	52240
264	5059	52214
265	5077	52184
266	5095	52155
267	5113	52132
268	5132	52105
269	5150	52076
270	5168	52043
271	5185	52005
272	5204	51983
273	5233	52064
274	5251	52034
275	5268	52001
276	5288	51984
277	5305	51946
278	5323	51915
279	5342	51896
280	5359	51862
281	5377	51832
282	5395	51802
283	5414	51778
284	5432	51755
285	5451	51731
286	5470	51713
287	5487	51676
288	5507	51660
289	5524	51627
290	5543	51603
291	5562	51582
292	5580	51558
293	5599	51540
294	5619	51527
295	5638	51508
296	5657	51492
297	5676	51470
298	5695	51452
299	5714	51433
300	5733	51413
301	5752	51388
302	5770	51360
303	5787	51328
304	5806	51306
305	5824	51278
306	5845	51275
307	5864	51257
308	5883	51235
309	5902	51215
310	5920	51187
311	5938	51161
312	5957	51140
313	5976	51122
314	5994	51097
315	6013	51078
316	6033	51064
317	6052	51047
318	6070	51020
319	6088	50987
320	6106	50959
321	6124	50937
322	6143	50918
323	6161	50893
324	6180	50873
325	6200	50857
326	6219	50840
327	6237	50816
328	6255	50783
329	6273	50760
330	6291	50732
331	6308	50699
332	6329	50690
333	6347	50665
334	6365	50635
335	6382	50603
336	6401	50582
337	6420	50565
338	6438	50538
339	6456	50511
340	6475	50490
341	6492	50462
342	6512	50446
343	6530	50418
344	6547	50390
345	6566	50367
346	6583	50338
347	6601	50309
348	6620	50288
349	6638	50262
350	6656	50237
351	6675	50220
352	6694	50196
353	6712	50170
354	6729	50140
355	6748	50118
356	6766	50091
357	6784	50072
358	6803	50047
359	6820	50018
360	6839	50000
361	6858	49976
362	6876	49951
363	6894	49924
364	6911	49893
365	6930	49873
366	6948	49850
367	6965	49821
368	6984	49802
369	7002	49771
370	7020	49746
371	7039	49732
372	7057	49704
373	7075	49677
374	7094	49658
375	7111	49630
376	7130	49609
377	7150	49600
378	7168	49576
379	7186	49547
380	7204	49527
381	7222	49500
382	7241	49482
383	7259	49458
384	7277	49427
385	7294	49400
386	7313	49379
387	7330	49351
388	7349	49327
389	7367	49304
390	7384	49275
391	7402	49248
392	7420	49227
393	7441	49219
394	7459	49196
395	7477	49173
396	7496	49152
397	7515	49135
