iter	R2	RMSE
0	0.05670358452	0.8510438858
1	0.1040508598	0.8294105255
2	0.14495903	0.810254266
3	0.1809178687	0.7930336026
4	0.2149608634	0.7763785319
5	0.2440651526	0.7618510088
6	0.2647284292	0.751366367
7	0.2871079868	0.7398432886
8	0.3073255223	0.7292768991
9	0.3263474761	0.7191936339
10	0.3434636678	0.7099981976
11	0.359095835	0.701494727
12	0.3736828922	0.6934657258
13	0.3884003644	0.6852696108
14	0.3991938314	0.6791958996
15	0.411911933	0.6719687049
16	0.4218700517	0.6662551783
17	0.4313631987	0.6607624358
18	0.4389356691	0.6563480417
19	0.4484312946	0.6507702226
20	0.4570301651	0.6456775929
21	0.4637293682	0.6416820206
22	0.4712713479	0.6371538134
23	0.4780318473	0.6330672787
24	0.4826475591	0.6302619881
25	0.4881446851	0.626904623
26	0.4922050677	0.6244131564
27	0.4984865913	0.6205390813
28	0.5033179326	0.6175428588
29	0.5093979105	0.6137514917
30	0.5140575375	0.610829902
31	0.5193157534	0.6075161233
32	0.5217405522	0.6059818867
33	0.5275802337	0.6022709198
34	0.5298433069	0.6008266329
35	0.5348053348	0.5976476645
36	0.5372485445	0.596076171
37	0.5407758255	0.593800057
38	0.543418841	0.592088815
39	0.5448492221	0.5911606372
40	0.5472829452	0.5895780301
41	0.5507977784	0.5872848689
42	0.5527296819	0.5860206274
43	0.5540856764	0.5851316304
44	0.5568068728	0.5833435125
45	0.5592111261	0.5817590872
46	0.5617425096	0.580086205
47	0.5632444409	0.5790913591
48	0.5648297265	0.5780394437
49	0.5668185608	0.5767170404
50	0.568648343	0.5754977092
51	0.5721033322	0.5731882989
52	0.5730609448	0.5725465554
53	0.5762953208	0.5703737027
54	0.5786705643	0.5687727286
55	0.5826421662	0.5660856537
56	0.5835869362	0.5654445686
57	0.5847686142	0.5646417022
58	0.5857098686	0.5640013689
59	0.5874262891	0.5628318162
60	0.5891145866	0.5616790505
61	0.5926915125	0.5592288832
62	0.5933717107	0.5587617368
63	0.5940114735	0.5583220038
64	0.5951494189	0.5575389943
65	0.5970318883	0.5562412649
66	0.5993048394	0.5546703006
67	0.6006233724	0.5537569458
68	0.6040770148	0.5513574175
69	0.6074865479	0.5489782476
70	0.6087162053	0.5481176597
71	0.6115545088	0.5461260671
72	0.6135422344	0.5447269762
73	0.6148145049	0.5438295801
74	0.6175257058	0.5419122767
75	0.619652259	0.5404036634
76	0.622251758	0.538553794
77	0.6230723704	0.5379685045
78	0.6237800939	0.5374632194
79	0.6257338412	0.536065853
80	0.6262501725	0.5356959516
81	0.6285667435	0.5340331995
82	0.6300404703	0.5329727112
83	0.6327467583	0.5310197609
84	0.6357161686	0.5288686352
85	0.6366448864	0.528194047
86	0.6384789186	0.5268593328
87	0.6415320246	0.5246299083
88	0.6447308819	0.5222838452
89	0.6477360067	0.5200702257
90	0.6486456499	0.5193983089
91	0.6515265022	0.5172645804
92	0.6533870694	0.5158818446
93	0.6536344462	0.5156977199
94	0.6552599626	0.5144861951
95	0.6571720029	0.5130574574
96	0.6592038869	0.5115347953
97	0.6606383804	0.5104570729
98	0.66112455	0.5100913014
99	0.6616372414	0.5097052917
100	0.6626919486	0.508910273
101	0.6629790142	0.5086936732
102	0.6640994644	0.5078473751
103	0.6644852793	0.5075556349
104	0.6653324853	0.5069144172
105	0.6667038227	0.5058747819
106	0.6681871941	0.5047478008
107	0.6683637858	0.5046134688
108	0.6692740282	0.5039204864
109	0.6728860847	0.5011611228
110	0.6749288289	0.4995938595
111	0.6762553268	0.4985734865
112	0.6796312614	0.4959671696
113	0.6823973108	0.4938214489
114	0.684597416	0.4921080704
115	0.6863055255	0.4907737193
116	0.6873166605	0.4899821226
117	0.6878308895	0.4895790524
118	0.6904941661	0.4874861524
119	0.6922304726	0.4861168474
120	0.6951330279	0.4838191483
121	0.6978762842	0.4816374768
122	0.6988682763	0.4808461232
123	0.7000636931	0.4798907554
124	0.7006738848	0.4794023609
125	0.702982004	0.4775504357
126	0.7037749311	0.4769125691
127	0.7045981465	0.4762494332
128	0.7049244006	0.4759863657
129	0.7055482713	0.4754829166
130	0.7065451554	0.4746773462
131	0.7080556993	0.4734540813
132	0.7083637284	0.4732042458
133	0.7126300173	0.4697302887
134	0.7146202513	0.4681008605
135	0.718400297	0.4649903715
136	0.7196463139	0.4639604908
