iter	Passed	Remaining
0	21	64706
1	42	63291
2	64	64058
3	86	65067
4	108	64864
5	129	64781
6	152	65140
7	175	65805
8	198	66063
9	220	65906
10	240	65366
11	259	64619
12	279	64238
13	300	64038
14	320	63754
15	339	63233
16	357	62744
17	377	62526
18	397	62346
19	416	62002
20	436	61851
21	454	61577
22	474	61399
23	495	61396
24	516	61500
25	537	61471
26	557	61418
27	577	61313
28	605	62083
29	636	63029
30	670	64222
31	691	64116
32	711	63965
33	737	64294
34	756	64124
35	778	64078
36	802	64262
37	823	64219
38	843	64051
39	873	64615
40	901	65079
41	922	64945
42	962	66177
43	980	65881
44	1002	65798
45	1021	65622
46	1041	65450
47	1061	65270
48	1080	65100
49	1100	64932
50	1121	64820
51	1140	64655
52	1159	64465
53	1179	64332
54	1200	64263
55	1221	64202
56	1242	64130
57	1264	64125
58	1283	63990
59	1304	63922
60	1324	63811
61	1344	63726
62	1374	64088
63	1394	63984
64	1414	63882
65	1435	63810
66	1456	63758
67	1476	63667
68	1499	63710
69	1519	63607
70	1539	63489
71	1560	63443
72	1582	63437
73	1603	63398
74	1624	63342
75	1644	63282
76	1665	63218
77	1686	63182
78	1706	63085
79	1726	63033
80	1747	62974
81	1769	62953
82	1788	62844
83	1818	63136
84	1838	63052
85	1859	63000
86	1879	62918
87	1899	62842
88	1918	62753
89	1938	62685
90	1958	62616
91	1979	62561
92	2001	62553
93	2020	62469
94	2052	62759
95	2072	62696
96	2092	62617
97	2112	62543
98	2132	62481
99	2152	62408
100	2170	62304
101	2190	62245
102	2210	62184
103	2231	62141
104	2252	62104
105	2275	62123
106	2296	62094
107	2316	62028
108	2336	61966
109	2355	61893
110	2376	61847
111	2396	61788
112	2415	61722
113	2435	61656
114	2456	61614
115	2476	61581
116	2497	61535
117	2517	61492
118	2538	61446
119	2559	61430
120	2580	61404
121	2601	61373
122	2621	61327
123	2642	61289
124	2662	61246
125	2684	61229
126	2703	61162
127	2723	61100
128	2742	61030
129	2762	60988
130	2783	60954
131	2802	60897
132	2822	60838
133	2841	60772
134	2861	60716
135	2881	60681
136	2900	60622
137	2919	60554
138	2939	60510
139	2959	60457
140	2979	60407
141	3000	60381
142	3019	60329
143	3040	60297
144	3060	60263
145	3080	60212
146	3100	60176
147	3120	60133
148	3139	60078
149	3159	60027
150	3179	59980
151	3198	59935
152	3219	59901
153	3239	59862
154	3259	59832
155	3291	60011
156	3311	59967
157	3332	59938
158	3351	59884
159	3372	59853
160	3392	59822
161	3413	59791
162	3432	59741
163	3451	59684
164	3472	59657
165	3498	59720
166	3517	59668
167	3537	59638
168	3557	59597
169	3576	59544
170	3597	59509
171	3617	59474
172	3637	59439
173	3658	59423
174	3679	59391
175	3700	59368
176	3720	59334
177	3740	59300
178	3760	59263
179	3779	59218
180	3800	59191
181	3819	59143
182	3840	59116
183	3869	59224
184	3890	59200
185	3911	59174
186	3931	59135
187	3951	59110
188	3972	59086
189	3992	59045
190	4011	58990
191	4031	58967
192	4051	58926
193	4072	58901
194	4091	58861
195	4110	58805
196	4129	58760
197	4150	58734
198	4170	58698
199	4199	58799
200	4222	58799
201	4250	58871
202	4270	58837
203	4290	58806
204	4311	58780
205	4334	58784
206	4354	58760
207	4375	58734
208	4396	58705
209	4415	58663
210	4435	58631
211	4463	58703
212	4483	58664
213	4504	58644
214	4523	58598
215	4545	58588
216	4565	58556
217	4594	58634
218	4617	58639
219	4641	58646
220	4662	58632
221	4686	58643
222	4711	58674
223	4738	58723
224	4761	58722
225	4783	58714
226	4809	58754
227	4833	58764
228	4856	58761
229	4875	58713
230	4895	58686
231	4916	58658
232	4934	58603
233	4953	58556
234	4973	58520
235	4992	58476
236	5012	58434
237	5030	58383
238	5050	58343
239	5070	58306
240	5087	58248
241	5107	58207
242	5126	58161
243	5146	58133
244	5167	58111
245	5189	58099
246	5215	58128
