,y_test,y_preds
30004,1,1
18465,0,0
50862,0,0
23552,0,0
15992,1,1
15890,0,0
17767,0,0
5392,1,1
29310,1,1
17654,0,2
15374,0,0
25242,0,0
50621,2,2
23676,2,2
51224,1,1
22010,0,0
22377,1,1
31751,0,0
32632,2,2
13263,1,1
4773,0,0
43849,0,0
8513,0,0
46376,0,0
41719,2,2
37406,2,2
24748,0,0
38776,1,1
34313,1,1
32690,2,2
16911,2,2
10128,1,1
26700,0,0
28327,0,0
5921,1,1
3394,0,0
6722,0,0
1587,0,0
32627,0,0
14692,1,1
17501,2,0
3760,0,0
7455,2,2
11159,0,0
40454,0,0
40701,0,0
49159,0,0
13629,0,0
2619,0,0
24323,0,0
33503,2,2
39512,0,0
5193,0,0
18929,0,0
45457,1,1
46818,0,0
35294,0,0
39844,2,2
2901,1,1
35905,0,0
39616,2,2
26347,0,0
40554,0,0
32658,0,0
30857,2,2
7632,0,0
41986,0,0
37442,2,2
25671,2,2
10680,0,0
20489,1,1
34599,0,0
1833,2,2
41260,1,1
4499,0,0
36718,2,2
2523,0,0
28562,2,2
48750,0,0
40608,0,0
42016,1,1
14667,0,0
20617,0,0
17232,0,0
36307,0,0
9252,0,0
1118,0,0
41985,0,0
49211,1,1
18245,0,0
36809,1,1
45149,1,1
20618,2,0
50761,0,0
14274,0,0
6990,1,1
4578,0,0
49781,0,0
11489,0,0
15403,0,0
38133,0,0
43895,2,2
39752,0,0
4124,0,0
6300,0,0
38612,0,0
10099,0,0
1477,2,2
3520,0,0
28108,2,2
28129,0,0
33305,0,0
49796,0,0
47183,0,0
40139,0,0
11078,0,0
46636,0,0
6243,1,1
23004,0,0
8590,2,2
46992,0,0
41843,0,0
34454,2,2
22232,1,1
39055,0,0
27419,0,0
7227,0,0
2128,1,1
52065,1,1
37253,0,0
11408,0,1
43032,0,0
4046,0,0
5260,0,0
13986,0,0
5691,0,0
16113,0,0
19440,0,0
37557,0,0
3289,0,0
7870,0,0
15376,0,0
11821,1,1
47297,0,0
1732,0,0
46941,0,0
40270,0,0
16167,0,0
8753,0,0
52067,0,0
32937,0,0
13380,1,1
12190,2,2
45797,0,0
47026,1,1
10811,0,0
41529,0,0
27233,2,2
7737,1,1
45202,0,0
24620,0,0
30623,0,0
39323,1,1
13812,0,0
43999,1,1
10264,2,2
3666,2,2
22544,0,0
18122,1,1
31964,0,0
23294,0,0
38177,0,0
4249,0,0
39089,1,1
51775,0,0
14581,1,1
31340,0,0
41155,0,0
13937,0,0
18321,0,0
49661,0,0
721,0,0
18372,1,1
19932,2,2
3415,0,0
15966,0,0
28484,1,1
14451,1,1
8476,1,1
1613,0,0
22437,0,0
20591,0,0
36145,2,2
10008,0,0
11738,2,2
49298,0,0
32312,0,0
10490,2,2
15495,1,1
43300,0,0
44125,0,0
50476,0,0
18375,0,0
5666,1,1
1615,1,1
2045,0,0
33092,0,0
9584,0,0
40333,0,0
30249,2,2
15088,0,0
47743,2,2
35188,2,2
20151,1,1
9357,0,0
14980,0,0
49535,2,2
36304,2,2
15971,2,2
2420,0,0
6737,0,2
32325,1,1
6061,0,0
16046,0,0
48707,0,0
44199,0,0
11330,0,0
24846,1,1
29035,2,2
46552,0,0
32069,0,0
9360,1,1
12208,2,2
34288,0,0
14318,2,2
31998,0,0
18758,0,0
37978,1,1
30842,1,1
30254,1,1
19649,2,2
11452,2,2
34466,0,0
28573,0,0
45186,0,0
10156,0,0
32811,2,2
27327,0,0
18918,0,0
42131,0,0
34366,2,2
52158,0,0
23721,0,0
931,0,0
595,1,1
25705,1,1
33087,0,0
40968,2,2
32876,1,1
2814,0,0
23389,0,0
47048,2,2
4540,0,0
16144,1,1
25426,0,0
21430,0,0
45776,1,1
25707,0,0
6633,0,0
50656,0,0
48942,0,0
5068,2,2
47765,0,0
42963,0,0
4516,0,0
27323,2,0
40434,2,2
12425,0,0
6333,0,0
43957,0,0
46620,1,1
22353,0,0
49126,2,2
2880,0,0
48563,0,0
38463,0,0
7130,1,1
12483,0,0
23899,1,1
13928,1,1
10704,0,0
20514,0,0
36112,2,2
29858,0,0
47700,0,0
42374,2,0
1363,0,0
34415,0,0
32938,0,0
35079,0,0
17954,1,1
25197,0,0
49626,0,0
36229,1,1
45631,0,0
18096,0,0
19892,0,0
44442,1,1
1575,0,0
4860,0,0
808,2,2
14279,0,0
41572,0,0
5030,0,0
33598,0,0
37793,1,1
43244,2,0
4679,2,2
44008,0,0
48220,2,2
47763,0,0
14649,0,0
4627,0,0
40025,1,1
49237,1,1
2783,0,0
47794,0,0
26310,0,0
38283,2,2
26492,2,2
5616,0,0
35316,1,1
29490,0,0
116,0,0
49653,1,1
50142,1,1
50615,1,1
51876,0,0
21547,2,2
10123,0,0
14881,0,0
13529,0,0
38539,0,0
35560,1,1
32641,0,0
45207,0,0
3909,0,0
27302,0,0
29662,2,2
23021,0,0
21637,0,0
7752,0,0
42188,0,0
35848,0,0
22324,0,0
40451,0,0
17275,2,2
1923,0,0
23335,1,1
35810,1,1
27661,0,0
29060,1,1
12851,0,0
25563,0,0
28861,0,0
17631,0,0
21773,0,0
37809,0,0
31759,0,0
50650,0,0
15783,0,0
41333,1,1
7194,1,1
24870,0,0
24543,1,1
30233,0,0
7784,0,0
9636,0,0
24002,0,0
19384,2,2
30799,1,1
17619,0,0
50257,1,1
30283,0,0
8626,1,1
35001,0,0
18938,0,0
3521,0,0
41221,1,1
47323,0,0
47524,0,0
13798,0,0
25694,0,0
37488,0,0
3433,0,0
15864,2,2
3517,2,2
45896,0,0
41940,1,1
35842,0,0
25472,0,0
15205,0,0
42618,1,1
10586,0,0
11005,1,1
9666,2,2
977,0,0
43964,0,0
1215,0,0
38633,2,2
40492,2,2
37852,0,0
48120,2,2
2811,0,0
11596,2,0
108,0,0
31329,0,0
21786,0,0
37080,0,0
12993,0,0
24249,0,0
12626,2,2
24133,0,0
4754,0,0
17645,0,0
29543,1,1
1406,0,0
23056,0,0
34672,1,1
42751,0,0
8524,0,0
4043,2,2
35832,0,0
15711,2,2
44733,0,0
4034,2,0
42473,1,1
9265,1,1
10456,2,2
39908,1,1
18017,0,0
48878,1,1
45098,1,1
7347,0,0
27355,0,0
34333,0,0
21615,0,0
2675,0,0
12716,0,0
43410,0,0
44719,0,0
41068,0,0
25300,2,2
7761,0,0
26855,0,0
18340,0,0
600,0,0
12584,0,0
41547,2,2
45982,0,0
23701,0,0
42796,0,0
36993,0,0
27441,0,0
32865,0,0
111,0,0
30710,1,1
32166,2,2
44550,0,0
46881,0,0
29718,2,2
1618,0,0
23861,0,0
24301,0,0
29320,0,0
37958,2,2
30586,0,0
39206,2,2
44590,1,1
40301,2,2
22379,0,0
30792,2,2
12220,1,1
49401,0,0
33931,0,0
20963,1,1
18424,2,2
2723,2,2
18606,0,0
39767,0,0
5348,0,0
48973,0,0
47239,0,0
8982,0,0
22003,1,1
7291,1,1
39540,0,0
6279,2,0
24704,0,0
6544,2,2
10751,0,0
28054,0,0
3800,1,1
1353,0,0
51869,0,0
28003,2,2
28967,1,1
33524,0,0
43009,0,0
44740,0,0
16216,2,2
9086,1,1
51477,0,0
42123,1,1
19382,1,1
10531,0,0
51779,2,2
10214,0,0
121,0,0
37550,0,0
19381,0,0
34847,0,0
11578,2,2
15229,0,0
41913,0,0
45902,0,0
6929,2,2
18657,0,0
28734,0,0
7419,0,0
27975,0,2
22930,0,0
49397,1,1
14812,0,0
4824,1,1
26158,0,0
33152,0,0
47079,2,2
36649,0,0
1292,2,0
34997,0,0
41781,1,1
20960,0,0
7955,0,0
9527,2,2
10978,0,0
7849,0,0
23617,1,1
50317,2,2
24300,0,0
45363,0,0
18892,0,0
22592,1,1
10108,0,0
5488,0,0
45563,0,0
41827,2,2
25778,0,0
15344,0,0
9146,0,0
41943,1,1
11978,0,0
50794,0,0
29791,0,0
13217,2,2
37946,2,2
5895,0,0
31297,0,0
51852,0,0
30886,0,0
28947,0,0
8051,1,1
31469,0,0
18271,2,2
7703,0,0
31791,0,0
15421,0,0
12055,0,0
16641,0,0
25928,1,1
24959,0,0
25688,2,2
38362,0,0
48437,1,1
33939,2,2
49705,0,0
44180,2,2
3271,0,0
15183,0,0
40315,1,1
9698,2,2
28501,1,1
35550,0,0
14714,0,0
34307,0,0
19632,1,1
4361,1,1
37014,2,2
37056,0,0
18539,0,0
4525,0,0
6023,1,1
47959,2,2
487,2,2
31240,1,1
18862,2,2
1298,1,1
25138,1,1
43116,1,1
37925,0,0
15367,0,0
1113,0,0
37268,1,1
16949,0,0
50403,0,0
19155,1,1
14328,0,0
13596,0,0
36255,0,0
11843,0,0
38374,2,2
17445,2,2
47280,0,0
18549,0,0
38755,0,0
46463,0,0
38090,0,0
9305,2,2
48632,0,0
23230,1,1
38407,1,1
46702,0,0
11645,0,0
22333,0,0
1661,0,0
38796,0,0
44010,0,0
2914,1,1
15440,0,0
8639,0,0
17835,0,0
15084,1,1
47935,0,0
21450,1,1
27442,0,0
50833,1,1
23741,0,0
574,0,0
8561,0,0
29716,0,0
8516,0,0
36677,0,0
13397,0,0
46927,0,0
43862,1,1
32035,2,2
41906,0,0
2081,0,0
31140,1,1
39972,0,0
43370,0,0
25043,0,0
12931,0,0
47833,2,2
37887,0,0
2924,2,2
28295,0,0
14700,0,0
49103,0,0
35320,2,2
51911,0,2
52287,0,0
13306,0,0
42376,2,2
52108,2,2
28837,1,1
29407,0,0
51875,2,2
542,0,0
31884,2,0
26257,2,2
37724,0,0
35328,2,2
14737,0,0
21561,0,0
44631,1,1
22283,0,0
39978,0,0
36497,0,0
24089,1,1
3013,1,1
25052,0,0
5619,2,2
27480,0,0
27678,2,2
14964,1,1
28670,0,0
655,1,1
48401,0,0
3650,0,0
2913,0,0
30058,2,2
50597,0,0
29919,0,0
4207,1,1
49871,2,2
17439,0,0
1103,0,0
29737,0,0
27291,0,0
20896,0,0
42779,1,0
38014,0,0
7017,0,0
14823,0,0
21716,1,1
21110,0,0
33204,2,2
13770,0,0
42353,1,1
7210,0,0
43626,2,2
18688,1,1
49688,0,0
37362,1,1
4750,1,1
2996,1,1
30523,0,0
10234,0,0
44212,0,0
5528,1,1
16906,1,1
45280,2,2
24065,1,1
16568,1,1
15800,0,2
24332,2,2
27897,2,2
14296,0,0
24262,0,0
23366,1,1
14753,0,0
14297,0,0
5285,1,1
43629,0,0
43405,1,1
20868,2,2
25970,1,1
36498,0,0
36713,1,1
19565,0,0
52087,0,2
23975,0,0
29136,0,0
5056,1,1
50941,0,0
28589,0,0
51566,0,0
32288,0,0
1239,0,0
38344,0,0
43590,2,2
28577,0,0
42412,0,0
46360,0,0
13746,0,0
37270,0,0
36061,2,2
15126,0,0
15731,0,0
17401,0,0
33679,0,0
23191,0,0
9744,0,0
48590,0,0
8761,1,1
13269,2,0
7236,1,1
4325,0,0
7918,1,1
41643,0,0
32016,0,0
12914,2,0
6151,2,2
1599,0,0
21667,2,2
6531,0,0
1271,0,0
51647,0,0
49799,0,0
24979,1,1
42566,2,2
37205,0,0
42827,0,0
12936,1,1
45676,0,0
19999,0,0
14551,0,0
7112,0,0
20937,0,0
5638,2,2
2735,0,0
50984,0,0
24828,1,1
45673,0,0
13725,1,1
47899,0,0
51054,2,2
40053,0,0
7080,0,0
14441,2,2
38110,0,0
20722,2,2
8236,0,0
24709,0,0
10281,2,2
47350,2,2
26843,0,0
36512,0,0
48653,2,2
8811,1,1
32740,2,0
35345,0,0
41888,0,0
44851,0,0
21806,2,2
8917,2,2
35999,0,0
52045,0,0
44995,0,0
12627,0,0
8581,2,2
11395,0,0
32782,0,0
10613,0,0
12740,2,2
38061,1,1
34261,0,0
50433,0,0
16424,0,0
8168,2,2
24237,0,0
30803,0,0
30117,1,1
5128,2,2
12284,0,0
41915,0,0
34945,1,1
8146,0,0
6895,2,2
9405,0,0
40825,1,1
51917,0,2
51845,1,1
31307,0,0
41895,0,0
7819,0,0
22872,1,1
34255,0,0
18644,0,0
20244,0,0
41207,0,0
47758,2,2
28550,2,2
4126,1,1
2676,1,1
12765,2,2
17933,0,0
11343,0,0
19512,0,0
30212,0,0
27932,1,1
49185,0,0
27492,1,1
28737,0,0
38184,0,0
36969,0,0
37084,0,0
37743,0,0
31981,0,0
4557,0,0
2551,0,0
47545,1,1
15105,0,0
49789,0,0
3298,0,0
25551,0,0
40294,1,1
43916,0,0
36424,2,2
21389,2,2
25728,0,0
24421,0,0
7802,0,0
23857,1,1
872,0,0
35375,0,0
43063,1,1
13204,0,0
15339,2,2
16804,1,1
39773,0,0
44453,0,0
34619,2,0
52003,0,0
30229,0,0
7173,1,1
14343,0,0
7137,0,0
49222,0,0
17014,0,0
9143,1,1
31088,2,2
18341,0,0
13650,0,2
8540,2,2
4365,1,1
1521,2,2
46093,1,1
46851,2,2
30499,0,0
29535,0,0
42094,0,0
21182,0,2
35104,1,1
20178,0,0
50181,0,0
16950,2,0
26471,0,0
16297,2,2
9771,1,1
49453,0,0
6103,2,2
30677,0,0
9186,1,1
10537,0,0
32903,2,2
47989,0,0
9670,1,1
45086,0,0
38615,0,0
44469,0,0
30535,0,0
11290,0,0
11827,2,2
5330,1,1
21890,1,1
33320,1,1
51760,0,0
1519,1,1
22657,0,0
16320,2,2
37120,0,2
38135,0,0
609,2,2
30702,0,0
85,0,0
3611,0,0
39308,1,1
10726,0,0
44506,0,0
32788,0,0
47076,0,0
32253,1,1
47261,1,1
50782,0,0
11256,0,0
24011,1,1
10158,0,0
28305,1,1
34436,1,1
47290,1,1
51314,1,1
42197,2,2
49598,2,2
50109,0,0
41642,1,1
25430,0,0
31934,0,0
45183,0,0
39124,0,0
23894,0,0
19030,0,0
33461,0,0
19826,1,1
38686,0,0
51631,0,0
47657,0,0
7791,0,0
49333,0,0
12601,0,0
45445,2,2
43142,0,0
37358,1,1
35532,0,0
4218,2,2
33233,0,0
1141,0,0
33874,0,0
48306,0,0
5654,1,1
39378,0,0
32638,2,2
50740,2,2
23247,0,0
38837,2,2
8034,0,0
13723,0,0
14040,0,0
196,1,1
14087,2,2
32052,1,1
3917,1,1
10401,0,0
19396,0,0
37275,0,0
20266,0,0
40272,0,0
30817,0,0
3629,0,2
8732,2,2
35886,0,0
17419,0,0
40269,2,2
49811,0,0
18345,0,0
7460,0,0
49604,2,2
12368,2,0
47351,0,0
24612,1,1
34100,2,2
7597,2,2
9726,0,0
