,y_test,y_preds
3020,6,5.655756878284265
1073,6,5.414890654497853
993,5,5.302520067432326
2389,6,5.249532732391259
3093,6,5.606807702216557
3942,5,5.160473495419723
2583,6,5.1944924633829
3084,3,5.75244033666165
4317,7,5.83096955436622
779,6,5.5784652115119115
3143,5,5.476725262826861
1524,6,5.815323686503206
4106,5,5.225976229456933
343,6,5.774250319308464
2801,6,5.9081804101612505
3702,6,5.330876502980601
359,8,6.506516563215115
2327,3,5.016260582073386
763,6,5.7739299809327065
1851,6,6.237206408021706
1042,5,5.461271926256742
758,5,6.7486119773415965
2403,5,5.521322135138902
2093,6,6.079019189384951
4099,7,6.895168908195529
953,5,5.396324428499625
2164,5,5.241332982411436
1355,7,5.873059779022185
2888,6,5.127720365717039
4150,5,4.875957506030332
1044,6,6.108031038105423
560,6,5.773539770889471
573,6,5.136394211582726
940,6,5.639268683551663
2102,6,6.21989014945683
1123,4,5.893382871323226
331,4,5.07114353461931
1195,7,6.0647024519604
1637,6,6.246575554643854
157,8,6.225430718972461
2399,5,5.708063450675368
3713,5,5.587699756216352
2139,6,6.463200386725731
662,5,5.605061741738453
3243,6,5.212414304724888
3445,6,5.544826555536702
90,6,6.617719122751623
4332,6,5.227308010703922
1785,7,6.079603729383507
2045,5,5.32303207005144
1427,6,5.4208254207182165
1845,6,5.9484582399458645
3949,6,5.548477432610383
745,6,6.025631196089947
3037,5,5.789621716913217
3721,5,6.033643679740223
1456,5,6.55018914026877
685,5,5.338840685670732
1453,5,5.041561359716965
2771,4,4.830753170134187
1333,5,5.777267644790683
1604,7,6.28566152691883
222,6,5.349068120795877
3170,5,5.4462760753878
3415,6,5.708936969320035
4343,6,5.44147873396858
1128,5,5.210013194703706
1021,7,6.243082448347664
769,5,5.68025679068441
931,6,5.924116182968135
608,5,5.326812153899667
3287,8,6.589834978397647
1857,7,6.8392435012976165
3690,6,5.971115838370508
3908,6,5.870075909645223
3015,6,5.4208254207182165
3408,5,6.505841951337757
650,7,6.327621115501458
2416,6,5.915392421599307
4348,5,5.538840643733025
4476,6,6.562511841022058
44,8,6.6595411734187735
3631,6,5.8322682367170415
324,6,5.952217241255951
1960,5,4.922114140034068
2686,9,6.7516046321202055
4189,6,6.2569561652786945
133,6,6.119547166994295
1801,5,5.651928449393367
447,5,5.590974919556075
1651,6,5.969126267685894
4531,5,5.795632053112186
1043,6,6.58461441263826
4311,5,5.008838197609435
2910,7,5.5742426683701325
1038,6,5.3780780150343475
4322,6,6.007336478251332
3344,6,6.0832874233449985
4136,5,5.686362474284721
1395,5,5.907816599894815
3444,5,4.988944838250575
3263,5,5.900151094021055
2369,7,6.1419737515837625
3430,7,6.610305705201341
2618,7,5.493893980874148
3699,5,5.336893643549317
349,5,5.033123575787968
2607,5,5.623456663777091
4177,5,5.8939523503849784
3706,6,5.784210867854469
3954,5,5.64909524639927
4181,5,5.448340399773798
3300,6,5.5901161957087595
3844,6,4.932976847357224
1729,6,5.503776502820614
1560,5,5.105177693077806
1545,6,6.845745136263332
2739,6,5.0906172408046615
62,6,5.160023245430594
3739,6,5.664615016596954
98,4,5.827183754030401
2215,5,4.758771542724816
2362,7,5.41367133621894
1938,5,5.792937521672357
4314,5,5.247333900211586
3395,6,6.574179978153069
2873,5,5.651113562647026
3077,6,5.82825020618192
3163,6,5.3082653797893045
219,6,6.252666400570746
372,7,6.2988664946210235
4047,7,6.05293618728993
1501,6,5.855088195382422
2588,5,5.846179234396885
136,5,5.584163714522873
1281,6,5.863900777250564
1561,7,6.5999461123365535
684,5,5.039243141296907
3343,7,6.196788614098779
3712,6,5.738153937474237
102,6,5.997692941960096
1155,6,5.31070872616209
1412,5,5.33708131798808
2778,5,4.982196775399174
3905,7,5.8241417288307105
2236,5,5.611391263065556
1060,7,5.632696082249069
4236,5,5.352052572740433
3100,6,6.198544224800159
1432,5,5.355218313843409
1808,6,5.8346657256605425
1724,6,6.021742928877515
4475,6,6.744565185933169
2126,4,5.408211887071403
82,4,5.015833558423793
2743,6,5.185981475623905
4123,6,6.219937901421744
2868,5,5.594036950168004
2909,5,6.160895708280691
4315,6,5.709235612351918
2290,6,6.684382076337215
1475,7,6.387392018587889
4396,7,6.492127801701102
748,6,5.774464665613422
4247,6,5.812613808133364
1272,5,5.36914315405518
2517,7,6.732650191893157
2500,7,6.11399757950484
846,6,5.432561046478469
3505,6,6.067834350545155
4070,5,5.247333900211586
1179,5,5.893357760034348
4543,6,5.446643681411302
2543,5,5.606073995894818
394,6,5.964569830591628
3620,7,6.310256124301034
1692,5,5.660207060404517
1669,6,5.66359886562806
785,6,6.4873628253904485
2321,6,6.600369697952331
4482,6,6.276208871505034
4403,6,5.94824674335392
4516,5,5.619170564552789
553,6,5.933664896982123
1413,5,5.7576582305294295
4219,6,5.262594271727991
910,5,5.564360510827811
1759,5,5.51975896904743
3218,6,5.7809625042440445
1703,5,5.799990482061901
4515,7,6.404497123559409
2105,7,4.930106911008721
1297,6,6.1424822499099605
2394,5,6.165648154857848
4104,6,6.43676895776386
1837,6,6.36531065690852
899,6,6.526275815327438
4180,7,6.731965146828401
4082,6,5.888290837289546
3407,7,6.000914241523816
40,7,6.161202013841006
2809,6,6.306067266369993
2474,6,5.2765585594929405
2567,6,5.570006092836877
3396,7,5.739974278208123
3150,6,5.307563961178303
3551,5,5.228290826607122
494,4,5.986853516400473
2426,6,5.537030037356644
3413,5,5.332991811056772
285,7,6.445004505593346
729,6,6.430288107931119
2987,6,6.764097289717128
3709,7,5.779240744657642
1385,8,6.67537733229058
3697,5,5.963983957078213
200,6,5.823553756650199
2017,5,5.502098193105624
3999,7,6.692336186939315
3158,6,6.0119706610171875
190,6,6.337707973543033
4017,6,5.573510781853912
3479,6,5.524994482485823
4276,6,5.739885418834234
3626,4,4.690129569473015
3673,6,5.573510781853912
3770,5,6.202017413096769
2707,5,5.913254416711169
990,6,6.464740957729006
3072,6,6.107258195996067
1061,7,5.957496042839253
3933,5,5.501557070358899
17,6,5.442307567464994
161,5,5.688854661504905
2886,6,5.799948433854894
2939,5,5.57010352928765
792,5,5.894288945460389
534,6,6.027989838867924
2345,6,5.9753489413537295
3291,5,5.383911297608293
1771,6,6.129053918599084
4404,4,4.809879284358303
2662,6,5.847346654667319
3549,6,5.273735125530024
960,5,4.682603902360427
3031,5,6.020835740998706
1159,6,5.606807702216557
784,7,6.453797508696027
21,5,5.1983449479322985
3229,6,5.945019365804825
1141,5,5.200328342264541
2461,8,6.187151441248076
592,7,6.582722799722831
1236,7,6.686462600013357
644,5,4.658229476498562
4140,5,6.068928625859684
2560,5,5.266814046512891
299,6,6.409188212317488
1784,6,5.8402657914903955
1715,6,5.727121291634376
3816,5,5.1083070004714415
610,5,6.167953587598035
834,6,6.745999444606326
366,6,5.760300956635746
3748,5,5.897659615364475
678,5,5.686860337574785
1225,5,4.829344559776445
94,6,5.486414196839476
636,7,6.727625781182368
2948,6,6.222236781353416
32,5,4.98442535268039
4308,5,5.691789501332735
4264,7,6.625006002625923
4215,5,5.904603882154021
3247,5,6.391795241587644
4158,7,6.574542065104183
1823,5,5.529915982936146
3231,7,6.623745351099117
703,8,5.585833753047979
1930,5,5.87454648274398
2529,6,5.306531814631683
1680,6,5.882320091660546
3496,5,5.440741570188138
3767,5,5.809049964776278
3096,6,6.779961578802883
4057,5,4.999903450308281
4473,6,6.62931183626398
2756,7,5.275531845261369
3577,6,6.117130073210021
3104,5,5.975745543436929
2463,7,6.943957417001172
2088,5,5.575525292694152
2295,6,6.069790792975823
99,6,5.775190580099661
3172,6,6.227128995977267
1991,5,5.684723331172663
941,5,5.133363089683755
1396,6,6.234634420235196
3609,6,5.075505934344363
4072,5,5.975568800412773
330,5,5.793364467120739
4330,6,5.949209132338282
1098,6,4.888058224786349
3129,6,5.6126745026625855
1548,5,5.687361273696652
2098,6,5.806550166465726
230,6,6.445470143332344
2031,6,6.072555330296396
3866,7,6.324082205933209
1163,5,5.136970011658889
4112,5,5.775906593608127
836,5,5.367390175149069
2850,6,6.589030861054937
2374,5,5.540286720892681
3685,5,5.861453872864601
1758,6,5.243813771272556
2672,5,5.694279907204873
2372,5,5.502596838064704
134,7,5.475968850965941
3584,6,6.609310638547171
2318,8,6.676536864250764
1653,5,5.41390101508523
4083,8,5.585833753047979
3373,5,5.108154448782329
1642,8,6.4122736046255255
1992,6,5.816155797865449
3253,6,5.9014022718433665
3336,6,6.081689457054679
913,5,5.078711439035487
1364,6,5.908569483549826
1176,6,5.825984823715075
1683,6,6.2491546214279055
486,5,5.686362597583056
1392,5,5.287928718957701
1836,7,6.540614687655619
28,6,5.976211341387128
2614,7,6.200173426743291
1117,5,5.9633579516970485
4358,5,5.548889676804492
3355,6,6.177898127346012
1950,6,6.057690635039293
2101,6,6.060120530884731
4316,5,5.406412801095172
1666,6,5.627464276407267
3418,8,5.995662824999542
3611,6,5.976643492818553
3339,5,5.488423393828569
3105,6,5.81161509687135
2135,7,5.503450379784212
1958,6,6.465781663389421
1847,7,6.2988664946210235
4026,6,6.233479554655659
123,5,5.275982181141643
2717,6,5.9083226505157
1961,5,5.34938214300999
987,5,5.084595724885261
1822,6,6.193213218419174
4377,5,5.491337495846409
1296,6,5.893663445924901
329,5,5.520623602033723
3055,5,5.498323828639144
2158,6,6.470033935940464
891,6,6.1597013299385
2070,6,6.11310803497399
107,5,5.248121468553762
100,7,6.511114690182723
1565,5,5.550444067429041
120,6,5.149053325829001
778,6,5.735653229124992
2692,6,6.203191995355837
364,6,5.44211962596232
787,7,5.801304811560797
1721,6,5.853497505734268
108,5,5.446341909565618
2388,6,5.89752763924939
840,6,5.888090972513581
4176,6,6.102717273188432
4544,6,5.098254586201378
4382,6,5.4491741755939245
2659,5,5.5104559647814995
4230,6,5.076071354239772
1649,5,5.466177858762322
2634,6,5.800666989834582
1863,7,6.614444082082784
3896,6,5.681277797279591
3984,6,6.372944351655107
3241,6,6.432128668077311
2775,6,6.3792526430856356
3541,6,5.495522776230146
407,6,6.477973682703308
1781,7,6.020962569495154
563,6,5.858039720411313
3483,6,6.363526100028295
188,6,5.814052210648995
2826,5,5.074973648986273
3113,6,5.883124121942416
3839,5,5.522696047501171
3019,7,6.50151526346292
823,5,5.5870219138830635
4416,5,5.1892825138992436
2667,6,5.8143525993678935
1237,6,6.517641124443728
1875,6,5.62350749281849
2481,6,5.006777487626493
3636,5,5.240737926843806
115,5,5.515757440435493
804,7,5.941758897221163
566,6,6.515850917549088
2670,6,5.625311878310271
2275,5,6.251913927940379
3952,6,5.992448948453756
2926,6,4.9994410555970035
1438,6,6.178469427866887
2240,5,5.725819212690411
301,5,5.724631292269308
1773,6,6.381232965502264
1497,7,5.323245337585021
2284,5,5.130504386053772
2046,6,6.401246352353411
996,7,6.64557046309416
1749,7,5.5742426683701325
4427,5,5.156077630874236
3154,6,5.675804852626953
3836,6,5.742614259571823
1924,6,5.888790604707566
1852,5,6.017744879939968
1125,5,5.8924601338289335
2878,7,5.5742426683701325
3521,6,6.295620620067098
932,6,6.278370317883059
1858,7,6.04613115307076
2294,7,6.779804129273785
1896,5,5.243342950540466
1687,7,6.1600531497969655
1686,6,5.423496685252047
13,6,5.477631968664539
3785,5,5.7004150442623995
1881,7,5.922376050977704
2311,7,5.69611553321181
1217,5,5.604701097416509
3737,4,5.2466842718778395
128,7,5.420478125183195
1147,7,6.262450919734192
2425,7,6.200620380614694
4410,6,5.174286988059407
4401,6,4.9757148043346575
3118,5,5.640160964194251
3645,6,5.173645946317663
1587,5,5.501858071662184
3042,6,5.993552047239518
236,5,5.551726239677862
1973,6,5.542338150201445
2404,6,6.312835548278599
1235,5,5.652365949820677
3534,4,5.184157567230088
3157,6,6.21989014945683
1915,7,5.829113670260341
2289,6,5.477022988197149
3254,7,6.696593939316344
3352,6,6.0040943797605735
2065,7,6.059080760896549
1810,5,4.9717349683286045
4287,6,6.036191158457768
205,6,5.942575959405616
4432,8,6.674197918124577
955,6,5.9934610785692115
2156,5,4.939306241224628
420,5,5.996052578203177
555,5,5.48591686228194
1947,6,5.996117561157774
1380,5,5.783472208286696
2764,5,5.287238759047497
1227,5,5.789621716913217
2142,7,6.76979991383476
1652,6,5.84956281519041
1268,7,6.214530371176281
4354,5,5.873321439782686
3559,6,6.362983655088584
1409,6,6.4182903253311
280,6,6.286930785876223
2414,4,5.614926823604378
3665,4,4.855606771247039
196,7,5.9293988676373175
418,8,6.592801991206244
3491,5,5.067450094087562
1563,5,5.248062044567547
2949,6,5.499724312929516
2039,7,6.092020052869259
3299,5,5.368263016381519
724,6,5.620143292655854
4195,7,6.267358645318581
645,7,5.689689207020962
3403,6,5.1249525175737745
4390,6,5.963135475052951
3389,6,5.819598911153662
1246,6,5.708936969320035
457,6,6.723242427023678
1710,6,6.055140180080315
544,5,5.435313520817843
2340,6,5.897079179464754
1488,5,5.255031957950862
881,6,5.6382819183913995
2429,5,5.377139446339285
3600,5,5.360368407006163
3941,7,6.278007345655652
1162,5,5.397336165321917
3729,7,6.661257626888911
1410,7,5.364816527161324
1768,5,5.1733779960561606
3728,6,5.822355889245188
4076,6,6.264752317456413
808,5,5.85972601874559
4193,7,6.050716896177093
2401,5,5.607171130221971
3414,6,6.288216349654391
3035,5,5.5631958054595145
1850,7,6.780702006042219
453,5,4.915721515256962
2728,7,6.531994741050212
589,6,6.702535128526563
2296,6,6.047927737245288
3473,5,5.814347893371831
3801,6,5.46151007353032
3622,5,5.173684701284131
2677,8,6.36702649693909
3232,5,5.302019857369558
2132,7,5.337725409158907
4118,5,5.5836786317681515
518,6,5.611778878385522
3181,6,6.224972002161564
921,7,6.576639476115929
2975,5,4.912135591070367
3180,6,5.96774492384877
1573,5,5.880529877182624
368,6,6.661342931494559
4151,5,5.579292618959158
3589,3,4.1719733710353495
761,5,5.387826128100855
2282,7,6.2870855682839135
45,7,5.938604735528983
1102,6,6.132132307368607
3528,5,5.569741035860929
1697,7,6.196788614098779
3518,5,5.797584696425034
1897,5,5.2497157980998
216,6,6.580052833012985
2849,5,5.364311949377154
3798,5,5.212294409171378
1946,5,6.034683554835922
3812,8,6.54485970436582
700,5,6.11406846455327
2018,5,5.763459451124447
4044,7,6.4447252411440274
4073,7,6.877654335844952
756,6,5.663227056916583
4502,5,5.464397810507876
2245,6,5.721352596697798
2702,6,6.209209215792583
111,7,5.729639420516676
1550,7,6.6929291906655095
4526,7,7.071395663380429
2624,5,5.22679940484997
3872,6,5.873635699407217
58,5,5.564066318859844
3384,5,6.367418831604212
3406,6,6.204976984501101
4518,5,6.054503592585107
4252,6,5.956141906294164
4202,5,5.188342932175715
275,6,6.300815649118277
1,7,6.813248177716048
3459,5,4.889534280724135
3903,6,6.275579214826934
3814,5,5.158086180411729
210,7,6.368743828023369
3583,6,5.936372437324536
718,6,6.048868580492311
438,7,6.555245171788769
4534,5,5.239872188105707
2916,6,5.686272496218919
795,5,5.772783665801768
3979,7,6.202131198322235
2609,6,6.166944813827115
695,6,6.701857798984463
191,5,5.394212165715217
3323,5,5.273519807308915
2241,7,6.502054228274844
4115,6,4.970875141053824
1435,6,5.80581929935434
1063,6,6.404315260234441
4464,6,6.589546945935666
1004,6,6.519770964083037
4168,6,5.3540105082130935
4458,7,6.830951817470378
3681,5,5.197258433861421
385,7,5.931292238738948
1034,6,6.1743732022374616
4331,5,5.671322157865575
2911,5,5.87518657524484
3420,6,6.318007187745067
1494,6,5.710715761126252
1373,5,6.049593729722105
1081,6,5.61486564282707
2095,5,5.309645731381451
2620,5,5.240600027719978
2875,5,5.058427342243192
3493,3,5.789316532888876
306,6,6.344904893676457
3245,6,5.917212609544251
2328,5,5.774203768488007
2276,5,5.4961378868016055
2133,4,5.305196971331512
3234,6,6.371882402234434
2772,5,6.206779390859467
2387,7,5.873958970600384
2719,7,6.174595748033994
4213,7,6.3735898910894235
126,6,6.30433168056895
2498,6,5.344781109297529
1635,6,5.456437927409169
2905,6,6.538443288404309
1094,5,5.665025438310124
1447,5,6.099605628544111
2300,5,5.72070152600736
4520,5,5.397100760553926
2427,6,5.828264093247512
3869,7,6.068136563807357
3167,6,6.498597896908066
2119,6,5.9934610785692115
2520,7,6.985578833869411
4261,5,6.300155048334872
4137,7,5.668146031402358
772,7,5.608900927538031
1537,6,6.189837149093094
290,5,5.533264141602075
988,5,6.352530940760104
957,6,6.074900800441753
771,5,5.436656660887792
3956,6,6.22658324059843
1995,8,6.1837097663569836
1907,7,6.508065827706375
2346,7,6.118818106488391
994,5,5.567514855039249
4303,6,6.095424904878385
3707,8,6.29507774742622
3731,6,5.729541428837308
2527,7,6.586911559574077
1328,8,6.188535826184676
