obj_ID,label
52295,1
52296,0
52297,1
52298,0
52299,0
52300,0
52301,2
52302,0
52303,1
52304,0
52305,0
52306,0
52307,2
52308,0
52309,2
52310,1
52311,0
52312,2
52313,0
52314,0
52315,0
52316,1
52317,0
52318,0
52319,0
52320,0
52321,0
52322,0
52323,0
52324,2
52325,1
52326,0
52327,0
52328,0
52329,1
52330,0
52331,0
52332,0
52333,0
52334,1
52335,1
52336,0
52337,0
52338,1
52339,0
52340,1
52341,2
52342,0
52343,0
52344,0
52345,0
52346,1
52347,0
52348,2
52349,0
52350,0
52351,0
52352,0
52353,0
52354,2
52355,1
52356,0
52357,2
52358,1
52359,0
52360,0
52361,0
52362,2
52363,1
52364,0
52365,0
52366,1
52367,0
52368,2
52369,2
52370,0
52371,0
52372,1
52373,0
52374,0
52375,0
52376,1
52377,2
52378,0
52379,0
52380,2
52381,0
52382,0
52383,0
52384,2
52385,0
52386,0
52387,2
52388,0
52389,1
52390,0
52391,0
52392,1
52393,0
52394,2
52395,0
52396,2
52397,0
52398,1
52399,0
52400,0
52401,2
52402,1
52403,0
52404,0
52405,0
52406,2
52407,0
52408,0
52409,0
52410,0
52411,0
52412,0
52413,0
52414,0
52415,0
52416,2
52417,1
52418,1
52419,1
52420,0
52421,2
52422,0
52423,1
52424,0
52425,0
52426,1
52427,1
52428,0
52429,1
52430,0
52431,2
52432,1
52433,1
52434,0
52435,0
52436,0
52437,0
52438,0
52439,0
52440,0
52441,0
52442,1
52443,1
52444,0
52445,0
52446,0
52447,1
52448,2
52449,0
52450,1
52451,0
52452,1
52453,0
52454,1
52455,0
52456,0
52457,0
52458,2
52459,0
52460,1
52461,2
52462,1
52463,0
52464,0
52465,1
52466,0
52467,0
52468,0
52469,2
52470,0
52471,0
52472,1
52473,1
52474,2
52475,2
52476,1
52477,0
52478,1
52479,0
52480,2
52481,0
52482,0
52483,1
52484,0
52485,0
52486,0
52487,1
52488,0
52489,0
52490,0
52491,0
52492,2
52493,0
52494,0
52495,0
52496,0
52497,0
52498,0
52499,2
52500,0
52501,1
52502,0
52503,0
52504,2
52505,1
52506,0
52507,0
52508,0
52509,2
52510,0
52511,0
52512,0
52513,0
52514,0
52515,0
52516,1
52517,1
52518,0
52519,1
52520,0
52521,1
52522,1
52523,0
52524,0
52525,0
52526,1
52527,0
52528,0
52529,1
52530,1
52531,0
52532,1
52533,0
52534,1
52535,0
52536,0
52537,0
52538,2
52539,1
52540,2
52541,0
52542,0
52543,2
52544,0
52545,0
52546,0
52547,1
52548,1
52549,1
52550,0
52551,1
52552,1
52553,0
52554,0
52555,0
52556,0
52557,0
52558,0
52559,0
52560,2
52561,0
52562,1
52563,0
52564,2
52565,1
52566,2
52567,0
52568,0
52569,0
52570,0
52571,0
52572,2
52573,1
52574,0
52575,0
52576,0
52577,1
52578,2
52579,0
52580,0
52581,0
52582,2
52583,1
52584,2
52585,1
52586,0
52587,2
52588,0
52589,0
52590,2
52591,0
52592,2
52593,1
52594,0
52595,2
52596,2
52597,1
52598,1
52599,0
52600,0
52601,1
52602,0
52603,0
52604,0
52605,1
52606,0
52607,1
52608,0
52609,0
52610,0
52611,2
52612,0
52613,0
52614,2
52615,0
52616,0
52617,0
52618,0
52619,0
52620,0
52621,0
52622,0
52623,0
52624,0
52625,2
52626,0
52627,1
52628,0
52629,0
52630,0
52631,0
52632,2
52633,0
52634,2
52635,1
52636,1
52637,0
52638,0
52639,1
52640,2
52641,0
52642,0
52643,1
52644,2
52645,0
52646,1
52647,1
52648,0
52649,0
52650,0
52651,1
52652,1
52653,0
52654,2
52655,0
52656,0
52657,0
52658,2
52659,2
52660,0
52661,2
52662,0
52663,0
52664,0
52665,0
52666,0
52667,2
52668,2
52669,0
52670,1
52671,1
52672,0
52673,0
52674,0
52675,0
52676,2
52677,0
52678,0
52679,0
52680,1
52681,1
52682,2
52683,0
52684,2
52685,0
52686,0
52687,2
52688,0
52689,0
52690,0
52691,1
52692,0
52693,0
52694,1
52695,0
52696,0
52697,2
52698,2
52699,0
52700,0
52701,0
52702,0
52703,2
52704,1
52705,1
52706,0
52707,0
52708,1
52709,0
52710,0
52711,0
52712,0
52713,1
52714,0
52715,0
52716,0
52717,1
52718,0
52719,2
52720,2
52721,1
52722,1
52723,1
52724,0
52725,0
52726,0
52727,0
52728,0
52729,0
52730,2
52731,2
52732,0
52733,1
52734,1
52735,0
52736,2
52737,1
52738,0
52739,0
52740,1
52741,1
52742,0
52743,0
52744,0
52745,1
52746,1
52747,2
52748,1
52749,0
52750,0
52751,0
52752,1
52753,2
52754,0
52755,1
52756,1
52757,0
52758,1
52759,0
52760,0
52761,0
52762,0
52763,0
52764,0
52765,0
52766,0
52767,1
52768,0
52769,0
52770,0
52771,0
52772,0
52773,2
52774,0
52775,1
52776,0
52777,1
52778,1
52779,2
52780,0
52781,0
52782,0
52783,2
52784,0
52785,1
52786,1
52787,2
52788,0
52789,0
52790,2
52791,0
52792,0
52793,0
52794,1
52795,0
52796,0
52797,1
52798,0
52799,0
52800,0
52801,0
52802,1
52803,0
52804,0
52805,1
52806,0
52807,1
52808,0
52809,2
52810,0
52811,1
52812,0
52813,0
52814,0
52815,1
52816,0
52817,0
52818,1
52819,0
52820,0
52821,1
52822,1
52823,0
52824,0
52825,0
52826,2
52827,0
52828,0
52829,0
52830,1
52831,1
52832,1
52833,0
52834,0
52835,2
52836,0
52837,0
52838,2
52839,1
52840,0
52841,0
52842,0
52843,0
52844,0
52845,0
52846,0
52847,0
52848,0
52849,0
52850,2
52851,0
52852,0
52853,0
52854,0
52855,0
52856,2
52857,0
52858,0
52859,2
52860,0
52861,1
52862,0
52863,0
52864,2
52865,2
52866,0
52867,1
52868,0
52869,1
52870,2
52871,0
52872,0
52873,0
52874,0
52875,1
52876,2
52877,0
52878,0
52879,1
52880,1
52881,1
52882,2
52883,1
52884,0
52885,0
52886,0
52887,0
52888,2
52889,0
52890,0
52891,0
52892,0
52893,0
52894,0
52895,1
52896,0
52897,1
52898,0
52899,0
52900,0
52901,0
52902,2
52903,0
52904,0
52905,0
52906,0
52907,0
52908,0
52909,0
52910,0
52911,1
52912,0
52913,2
52914,1
52915,2
52916,0
52917,0
52918,0
52919,1
52920,2
52921,0
52922,1
52923,0
52924,0
52925,0
52926,0
52927,0
52928,0
52929,0
52930,0
52931,0
52932,0
52933,0
52934,2
52935,0
52936,0
52937,0
52938,0
52939,2
52940,0
52941,1
52942,1
52943,1
52944,1
52945,0
52946,1
52947,0
52948,1
52949,0
52950,2
52951,0
52952,0
52953,2
52954,0
52955,1
52956,1
52957,0
52958,0
52959,0
52960,2
52961,1
52962,1
52963,0
52964,0
52965,0
52966,0
52967,2
52968,1
52969,1
52970,0
52971,1
52972,0
